ID,Name,Studio,Rotten,Genre,Domestic,Budget
480,Remember Me,Summit,28,Drama,19.07,16
481,Repo Men,Universal,22,Action,13.79,32
482,Resident Evil: Afterlife,Highlight Communications,24,Action,60.13,60
483,Resident Evil: Retribution,SGem,31,Thriller,42.345531,65
484,Riddick,Universal,58,Action,42.025135,38
485,Rio,20th Century Fox,71,Animation,143.62,90
486,Rise of the Guardians,P/DW,74,Adventure,103.412758,145
487,Rise of the Planet of the Apes,20th Century Fox,83,Action,176.70,93
488,Robin Hood,Universal,42,Action,105.27,200
489,Rock of Ages,WB (NL),41,Romance,38.518613,75
490,Role Models,Universal,77,Comedy,67.29,28
491,Runner Runner,Fox,9,Thriller,19.316646,30
492,Rush,Universal,89,Thriller,26.947624,38
493,Rush Hour 3,Warner Bros.,20,Action,140.13,258
494,Safe (2012),LGF,57,Action,17.14208,30
495,Safe Haven,Relativity,12,Thriller,71.34912,28
496,Safe House,Uni.,53,Thriller,126.373434,85
497,Salmon Fishing in the Yemen,CBS,67,Comedy,9.047981,15
498,Salt,Sony,62,Action,118.31,110
499,Sanctum,Relativity Media,30,Action,23.21,30
500,Saving Mr. Banks,Buena Vista,81,Drama,79.15831,35
501,Saw IV,Independent,18,Horror,63.30,150
502,Saw VI ,Independent,40,Horror,27.69,11
503,Scary Movie 5,Weinstein / Dimension,4,Comedy,32.015787,20
504,Scott Pilgrim vs. the World,Universal,81,Action,31.52,60
505,Scream 4,Weinstein Company,58,Horror,38.18,40
506,Season Of The Witch,Relativity ,10,Action,24.83,40
507,Semi-Pro,Warner Bros.,21,Comedy,33.48,2.6
508,Seven Pounds,Sony,27,Drama,69.95,55
509,Seven Psychopaths,CBS,83,Comedy,15.024049,15
510,Sex and the City,Warner Bros.,49,Comedy,152.65,57.5
511,Sex and the City 2,Warner Bros.,15,Comedy,95.35,100
512,Sex Drive,Summit,46,Adventure,8.40,19
513,Shame,Independent,80,Drama,3.09,6.5
514,Shark Night 3D,Relativity,16,Horror,18.88,25
515,She's Out of My League,Paramount,57,Comedy,32.01,20
516,Sherlock Holmes ,Warner Bros.,70,Action,209.02,90
517,Sherlock Holmes 2,Warner Bros,60,Action,186.85,125
518,Shoot 'Em Up,Warner Bros.,67,Action,12.81,70
519,Shooter,Paramount,47,Action,47.00,9
520,Shrek Forever After,Paramount,57,Animation,238.74,165
521,Shrek the Third,Paramount,42,Animation,322.72,18
522,Shutter,Fox,7,Horror,25.93,8
523,Shutter Island,Paramount,68,Drama,128.01,80
524,Sicko,The Weinstein Company,93,Documentary,24.54,85
525,Side Effects,Open Road Films,84,Thriller,32.172757,30
526,Silver Linings Playbook,Wein.,92,Comedy,132.092958,21
527,Sinister,LG/S,63,Horror,48.086903,3
528,Skyfall,Sony,92,Action,304.360277,200
529,Skyline,Independent,16,Action,21.39,10
530,Smart People,Independent,50,Comedy,9.51,7
531,Smokin' Aces,Universal,27,Action,35.79,10
532,Snitch,Lionsgate / Summit,56,Action,42.930462,15
533,Solitary Man,Independent,81,Comedy,4.36,15
534,Something Borrowed,Independent,,Romance,39.05,35
535,Sorority Row ,Summit,22,Horror,11.97,12.5
536,Soul Surfer,Sony,46,Drama,43.85,18
537,Source Code,Summit Entertainment,92,Thriller,54.71,32
538,Space Chimps,Independent*,36,Animation,30.11,37
539,Sparkle (2012),TriS,57,Drama,24.397469,14
540,Speed Racer,Warner Bros.,38,Action,43.95,120
541,Spider-Man 3,Sony,61,Action,336.53,75
542,Spring Breakers,A24,65,Comedy,14.124284,5
543,Spy Kids: All The Time in the World,Weinstein Company,22,Action,38.54,27
544,Stand Up Guys,Lionsgate,37,Comedy,3.310031,1.8
545,Star Trek ,Paramount,94,Action,257.70,140
546,Star Trek Into Darkness,Paramount,87,Adventure,228.778661,190
547,Star Wars: The Clone Wars,Independent,19,Animation,35.16,8.5
548,Stardust,Paramount,76,Adventure,38.63,70
549,Step Brothers,Sony,54,Comedy,100.47,65
550,Step Up 2: The Streets,Disney,26,Drama,58.02,17.5
551,Step Up 3D,Summit,46,Drama,42.40,30
552,Stoker,Fox Searchlight,68,Thriller,1.714221,12
553,Stomp the Yard,Independent,27,Musical,61.36,35
554,Stone,Independent,49,Drama,1.81,22
555,Stop-Loss,Paramount,65,Drama,10.92,25
556,Street Fighter: The Legend of Chun-Li ,Fox,16,Action,8.74,50
557,Street Kings,Fox,37,Action,26.42,20
558,Sucker Punch,Legendary Pictures,23,Action,36.39,82
559,Sunshine Cleaning ,Independent,72,Comedy,12.06,5
560,Super 8 ,Paramount,82,Horror,127.00,50
561,Superbad,Sony,88,Comedy,121.46,10
562,Superhero Movie,The Weinstein Company,15,Comedy,25.88,65
563,Surf's Up,Sony,78,Animation,58.87,17.5
564,Surrogates ,Buena Vista,39,Action,38.57,80
565,Sweeney Todd: The Demon Barber of Fleet Street,Warner Bros.,86,Musical,52.90,150
566,Swing Vote,Disney,36,Comedy,16.29,20
567,Take Me Home Tonight,Relativity,28,Comedy,6.93,25
568,Take Shelter,Independent,92,Drama,1.73,5
569,Taken ,Fox,58,Action,145.00,25
570,Taken 2,Fox,21,Thriller,139.854287,45
571,Takers,Sony,27,Action,57.74,32
572,Taking Woodstock ,Focus,48,Comedy,7.46,29
573,Tangled,Disney,89,Animation,200.82,260
574,Ted,Uni.,68,Comedy,218.815487,50
575,Terminator Salvation ,Warner Bros.,33,Action,125.30,200
576,That's My Boy,Sony,20,Comedy,36.931089,70
577,The A-Team,Fox,47,Action,77.22,100
578,The Adjustment Bureau,Independent,72,Thriller,62.50,50.2
579,The Adventures of Tintin,Paramount,74,Adventure,77.59,130
580,The Amazing Spider-Man,Sony,73,Action,262.030663,230
581,The Artist,Weinstein Company,97,Drama,44.67,16
582,The Back-up Plan,CBS,20,Comedy,37.49,35
583,The Bank Job,Independent,78,Thriller,30.06,20
584,The Beaver,Summit Entertainment,62,Drama,0.97,21
585,The Best Exotic Marigold Hotel,FoxS,78,Comedy,46.412041,10
586,The Best Man Holiday,Universal,67,Comedy,70.525195,17
587,The Big Wedding,Lionsgate,7,Romance,21.819348,35
588,The Big Year,Independent,38,Comedy,7.20,41
589,The Bling Ring,A24,60,Comedy,5.845732,8
590,The Book of Eli        ,Independent,48,Action,94.84,80
591,The Bounty Hunter,Sony,7,Action,67.06,40
592,The Bourne Legacy,Uni.,56,Action,113.20387,125
593,The Bourne Ultimatum,Universal,93,Thriller,227.47,130
594,The Box ,Warner Bros.,46,Drama,15.10,30
595,The Boy in the Striped Pyjamas,Independent,63,Drama,9.05,12.5
596,The Bucket List,Warner Bros.,41,Drama,93.47,180
597,The Butler,Weinstein Company,73,Drama,116.632095,30
598,The Cabin in the Woods,LGF,92,Horror,42.073277,30
599,The Call,TriStar,43,Thriller,51.872378,13
600,The Canyons,IFC,22,Thriller,0.056825,0.25
601,The Change Up,Relativity Media,24,Comedy,37.08,52
602,The Chronicles of Narnia: Prince Caspian,Disney,66,Action,141.62,200
603,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,49,Adventure,104.39,155
604,The Company Men,Weinstein Company,66,Drama,4.44,15
605,The Company You Keep,Sony Classics,55,Thriller,5.133027,2
606,The Conjuring,Warner Bros,86,Horror,137.400141,20
607,The Conspirator,Independent,56,Drama,11.54,25
608,The Crazies,Liberty Starz,72,Horror,39.12,20
609,The Croods,Fox,70,Adventure,187.168425,135
610,The Darjeeling Limited,Fox,67,Drama,11.90,40
611,The Dark Knight,Warner Bros.,94,Thriller,534.86,185
612,The Dark Knight Rises,WB,88,Action,448.139099,250
613,The Day the Earth Stood Still ,Fox,19,Thriller,79.37,100
614,The Debt,Universal,76,Thriller,31.18,20
615,The Descendants,20th Century Fox,89,Drama,82.58,20
616,The Desolation of Smaug,Warner Bros,75,Adventure,252.326338,225
617,The Devil Inside,Par.,6,Horror,53.261944,1
618,The Dictator,Par.,57,Comedy,59.650222,65
619,The Dilemma,Spyglass Entertainment,23,Comedy,48.48,70
620,The Duchess,Paramount,60,Drama,13.85,13.5
621,The Eagle,Universal,39,Action,19.49,25
622,The Expendables,Independent,40,Action,103.07,82
623,The Expendables 2,LGF,65,Action,85.028192,100
624,The Eye,Lionsgate,22,Horror,31.42,12
625,The Fifth Estate,Buena Vista,37,Thriller,3.255008,28
626,The Fighter,Paramount,91,Drama,93.62,25
627,The Final Destination ,Warner Bros.,29,Horror,66.50,40
628,The Five-Year Engagement,Uni.,63,Comedy,28.835528,30
629,The Forbidden Kingdom,Relativity Media,64,Action,52.08,55
630,The Game Plan,Disney,27,Comedy,90.65,85
631,The Girl With The Dragon Tattoo,Sony,87,Thriller,102.06,90
632,The Golden Compass,Warner Bros.,42,Action,70.11,24
633,The Great Gatsby,Warner Bros,49,Drama,144.840419,105
634,The Green Hornet,Columbia,44,Action,98.78,120
635,The Grey,ORF,79,Action,51.580236,25
636,The Guilt Trip,Par.,38,Comedy,37.134215,40
637,The Hangover ,Warner Bros.,79,Comedy,277.30,35
638,The Hangover Part II,Legendary Pictures,35,Comedy,254.46,80
639,The Hangover Part III,Warner Bros,19,Comedy,112.200072,103
640,The Happening,Fox,19,Thriller,64.51,48
641,The Haunting in Connecticut ,Lionsgate,17,Drama,55.39,30
642,The Haunting of Molly Hartley,Independent,3,Horror,13.56,5
643,The Heartbreak Kid,Paramount,30,Comedy,36.79,80
644,The Help,DreamWorks Pictures,75,Drama,169.71,25
645,The Hills Have Eyes 2,Independent,11,Horror,20.80,61
646,The Hobbit: An Unexpected Journey,WB,65,Adventure,303.003568,200
647,The Host,Open Road Films,8,Romance,26.627201,40
648,The House Bunny,Sony,39,Comedy,48.24,25
649,The Hunger Games,LGF,84,Adventure,408.010692,78
650,The Hurt Locker ,Independent,97,Drama,17.01,15
651,The Iceman,Millenium Entertainment,66,Thriller,1.969193,10
652,The Ides of March,Columbia,85,Thriller,40.96,12.5
653,The Impossible,LG/S,81,Drama,19.019882,30
654,The Incredible Hulk,Universal,67,Action,134.81,137.5
655,The Informant! ,Warner Bros.,78,Comedy,33.31,22
656,The International ,Sony,58,Action,25.40,50
657,The Internship,Fox,34,Comedy,44.672764,58
658,The Invasion,Warner Bros.,19,Sci-Fi,15.07,20
659,The Invention of Lying ,Warner Bros.,56,Comedy,18.45,18.5
660,The Iron Lady,Weinstein Company,53,Drama,30.02,13
661,The Joneses,Independent,61,Comedy,1.48,10
662,The Karate Kid,Sony,66,Action,176.59,40
663,The Kids Are All Right,Independent,94,Comedy,20.81,4
664,The Kingdom,,52,Action,47.54,25
665,The Kings of Summer,CBS,76,Comedy,1.31559,2
666,The Kite Runner,Paramount,66,Drama,15.80,160
667,The Last Airbender,Paramount,6,Action,131.77,150
668,The Last Exorcism,Independent,73,Drama,41.03,1.8
669,The Last Exorcism Part II,CBS,16,Horror,15.179302,5
670,The Last Song,Disney,19,Drama,62.95,20
671,The Last Stand,Lionsgate,60,Action,12.050299,45
672,The Lincoln Lawyer,Lionsgate,84,Drama,58.01,40
673,The Lone Ranger,Buena Vista,31,Action,89.302115,215
674,The Longshots,Independent,39,Comedy,11.54,30
675,The Losers,Warner Bros.,47,Action,23.59,25
676,The Love Guru,Paramount,14,Comedy,32.24,62
677,The Lovely Bones ,Paramount,32,Drama,44.00,65
678,The Lucky One,WB,20,Drama,60.457138,25
679,The Master,Wein.,85,Drama,16.377274,32
680,The Mechanic,Independent,53,Action,29.12,40
681,The Men Who Stare at Goats ,Independent,52,Comedy,32.40,25
682,The Mist,The Weinstein Company,72,Horror,25.59,85
683,The Mortal Instruments: City of Bones,Sony / Screen Gems,12,Action,31.165421,60
684,The Mummy: Tomb of the Dragon Emperor,Universal,14,Action,102.49,145
685,The Muppets,Disney,97,Comedy,88.63,45
686,The Nanny Diaries,The Weinstein Company,33,Comedy,25.93,30
687,The Other Boleyn Girl,Independent,41,Drama,26.81,40
688,The Other Guys,Sony,78,Action,119.22,100
689,The Perks of Being a Wallflower,LG/S,85,Drama,17.742948,13
690,The Pink Panther 2 ,Sony,12,Adventure,35.92,59
691,The Pirates! Band of Misfits,Sony,86,Animation,31.051126,55
692,The Place Beyond the Pines,Focus Features,81,Drama,21.403519,15
693,The Possession,LGF,40,Horror,49.130154,14
694,The Princess and the Frog ,Disney,84,Animation,104.40,105
695,The Proposal ,Disney,43,Comedy,163.96,40
696,The Purge,Universal,37,Thriller,64.473115,3
697,The Reaping,,9,Horror,25.13,75
698,The Rite,Warner Bros,20,Horror,33.05,37
699,The Road ,The Weinstein Company,75,Adventure,8.12,25
700,The Roommate,Independent,4,Horror,37.30,16
701,The Ruins,Paramount,46,Horror,17.43,25
702,The Rum Diary,Independent,50,Drama,13.11,45
703,The Secret Life of Bees,Fox,56,Drama,37.77,11
704,The Secret Life of Walter Mitty,Fox,48,Drama,56.34268,90
705,The Simpsons Movie,Fox,90,Comedy,183.14,40
706,The Sitter,Fox,22,Comedy,30.44,25
707,The Smurfs,Sony Pictures Animation,23,Animation,142.61,110
708,The Smurfs 2,Sony,14,Animation,71.017784,105
709,The Soloist ,Paramount,56,Drama,31.70,60
710,The Sorcerer's Apprentice,Disney,42,Action,63.15,150
711,The Spectacular Now,A24,92,Drama,6.854611,2.5
712,The Spirit,Lionsgate,14,Action,19.81,6
713,The Strangers,Relativity Media,44,Horror,52.60,9
714,The Switch,Independent,52,Comedy,27.78,19
715,The Taking of Pelham 1 2 3 ,Sony,51,Action,65.45,100
716,The Tale of Despereaux,Universal,54,Animation,50.88,55
717,The Thing,Universal,36,Horror,16.93,38
718,The Three Musketeers,Independent,24,Action,20.37,75
719,The Three Stooges,Fox,52,Comedy,44.338224,30
720,The Time Traveler's Wife ,Paramount,38,Drama,63.41,39
721,The To-Do List,CBS,52,Comedy,3.491669,1.5
722,The Tree Of Life,Independent,84,Drama,13.30,32
723,The Twilight Saga: Breaking Dawn Part 2,LG/S,48,Adventure,292.324737,120
724,The Twilight Saga: Eclipse,Summit,50,Drama,300.53,68
725,The Twilight Saga: New Moon ,Summit,27,Drama,296.62,50
726,The Ugly Truth ,Independent,14,Comedy,88.90,38
727,The Unborn,Relativity Media,11,Horror,42.67,16
728,The Visitor,Independent,92,Drama,9.43,4
729,The Vow,SGem,29,Drama,125.01403,30
730,The Watch,Fox,17,Action,35.353,68
731,"The Way, Way Back",Fox Searchlight,85,Drama,21.506546,4.6
732,The Wolf of Wall Street,Paramount,77,Comedy,98.508822,100
733,The Wolfman,Universal,33,Drama,61.98,150
734,The Wolverine,Fox,69,Action,132.556852,120
735,The Woman in Black,CBS,66,Drama,54.33329,17
736,The Women,Warner Bros.,13,Drama,26.90,16
737,The X-Files: I Want to Believe,Fox,32,Thriller,20.98,35
738,There Will Be Blood,Paramount,91,Drama,40.22,20
739,THG: Catching Fire,Lionsgate,90,Action,420.021917,130
740,This Is 40,Uni.,51,Comedy,67.544505,35
741,This is the End,Sony,83,Comedy,101.470202,32
742,Thor,Disney,77,Action,181.03,150
743,Thor: The Dark World,Buena Vista,65,Action,204.509243,170
744,Tinker Tailor Soldier Spy,Focus,83,Thriller,24.15,21
745,TMNT,,33,Action,54.15,80
746,Tooth Fairy,Fox,16,Comedy,60.02,48
747,Total Recall (2012),Sony,30,Action,58.877969,125
748,Tower Heist,Relativity,68,Comedy,78.04,75
749,Toy Story 3,Disney,99,Animation,415.00,200
750,Traitor,Liberty Starz,55,Thriller,23.53,22
751,Transformers,Paramount,57,Action,319.25,39
752,Transformers: Dark of the Moon,DreamWorks Pictures,35,Action,352.39,195
753,Transformers: Revenge of the Fallen ,Paramount,20,Action,402.10,210
754,Transporter 3,Independent,36,Action,31.72,30
755,Tron: Legacy,Independent,50,Action,172.06,170
756,Tropic Thunder,Paramount,83,Comedy,110.52,90
757,True Grit,Paramount,96,Adventure,171.24,38
758,Turbo,Fox,67,Animation,83.028128,135
759,Twilight,Summit,49,Romance,192.77,37
760,Twilight: Breaking Dawn,Independent,26,Romance,281.29,110
761,Tyler Perry's Meet the Browns,Independent,31,Drama,41.98,20
762,Tyler Perry's The Family That Preys,Independent,51,Drama,37.11,10
763,Tyler Perry's Why Did I get Married,Independent,46,Romance,55.20,25
764,Underworld Awakening,SGem,26,Action,62.321039,70
765,Underworld: Rise of the Lycans ,Sony,30,Action,45.80,35
766,Unknown,Independent,55,Thriller,63.69,30
767,Unstoppable,Fox,86,Action,81.56,95
768,Untraceable,Independent,14,Thriller,28.69,35
769,Up ,Disney,98,Animation,293.00,175
770,Up in the Air ,Paramount,90,Drama,83.82,25
771,Vacancy,Sony,55,Comedy,19.36,45
772,Valentine's Day,Warner Bros.,17,Comedy,110.49,52
773,Valkyrie,MGM,58,Thriller,83.08,75
774,Vampires Suck,Independent,4,Comedy,36.66,20
775,Vicky Cristina Barcelona,The Weinstein Company,82,Romance,23.22,16
776,W.,Lionsgate,60,Drama,25.53,25.1
777,Waitress,Independent,89,Romance,19.07,90
778,Walk Hard: The Dewey Cox Story,Sony,75,Comedy,18.32,150
779,Walking with Dinosaurs,Fox,25,Documentary,34.691563,80
780,Wall Street: Money Never Sleeps,Independent,54,Drama,52.47,70
781,WALL-E,Disney,96,Animation,223.81,180
782,Wanted,Universal,73,Action,134.51,75
783,War Horse,Disney,77,Drama,79.88,66
784,Warm Bodies,Lionsgate / Summit,80,Horror,66.380662,35
785,Warrior,Lionsgate,83,Action,13.66,25
786,Watchmen ,Warner Bros.,64,Action,107.50,130
787,Water For Elephants,20th Century Fox,60,Drama,58.71,38
788,We Bought a Zoo,Fox,63,Comedy,75.62,50
789,We Own the Night,Sony,55,Drama,28.56,100
790,We're the Millers,Warner Bros,47,Comedy,150.394119,37
791,"Welcome Home, Roscoe Jenkins",Universal,24,Comedy,42.44,35
792,What Happens in Vegas,Fox,28,Comedy,80.28,35
793,What to Expect When You're Expecting,LGF,22,Comedy,41.152203,40
794,What's Your Number,20th Century Fox,24,Comedy,14.01,20
795,Whatever Works ,Independent,50,Comedy,5.30,15
796,Where the Wild Things Are ,Warner Bros.,73,Adventure,77.23,100
797,Whip It ,Independent,84,Drama,13.00,15
798,White House Down,Sony,50,Action,73.103784,150
799,Whiteout ,Warner Bros.,7,Action,10.28,35
800,Why Did I Get Married Too?,Lionsgate,27,Comedy,60.09,20
801,Wild Hogs,Disney,14,Comedy,168.27,175
802,Winnie The Pooh,Disney,91,Animation,26.69,30
803,Winter's Bone,Independent,94,Drama,6.53,2
804,World War Z,Paramount,67,Action,202.359711,190
805,Wrath of the Titans,WB,25,Action,83.670083,150
806,Wreck-It Ralph,BV,86,Animation,189.422889,165
807,X-Men Origins: Wolverine ,Fox,37,Action,179.90,150
808,X-Men: First Class,Disney,87,Action,146.41,160
809,Year One ,Sony,14,Adventure,43.33,60
810,Yes Man,Warner Bros.,43,Comedy,97.69,70
811,Yogi Bear,,14,Comedy,100.25,80
812,You Again,Independent,18,Comedy,25.70,20
813,You Don't Mess with the Zohan,Sony,36,Comedy,100.02,80
814,You Will Meet a Tall Dark Stranger,Independent,43,Comedy,3.24,22
815,Your Highness,Universal,26,Comedy,21.60,49.9
816,Youth in Revolt,The Weinstein Company,68,Comedy,15.28,18
817,Zack and Miri Make a Porno,The Weinstein Company,64,Romance,31.46,24
818,Zero Dark Thirty,Sony,93,Drama,95.720716,40
819,Zodiac,Paramount,89,Thriller,33.08,35
820,Zombieland ,Sony,90,Action,75.59,23.6
821,Zookeeper,Happy Madison Productions,14,Comedy,80.36,80
