ID,Name,Studio,Rotten,Genre,Domestic,Budget
118,Contagion,Warner Bros,84,Thriller,75.66,60
119,Contraband,Uni.,51,Action,66.528,25
120,Cop Out,Warner Bros.,19,Action,44.88,30
121,Coraline ,Universal,89,Animation,75.28,60
122,Country Strong,Sony,20,Drama,20.22,15
123,Couples Retreat ,Universal,12,Comedy,109.20,60
124,Cowboys and Aliens,Universal,44,Action,100.24,163
125,Crank: High Voltage ,Lionsgate,62,Action,13.70,12.9
126,"Crazy, Stupid, Love",Warner Bros,78,Romance,84.35,50
127,Cyrus,Independent,80,Comedy,7.47,7
128,Daddy Day Camp,Sony,1,Comedy,13.24,20
129,Dallas Buyers Club,Focus Features,94,Drama,24.845161,5
130,Dance Flick ,Paramount,17,Action,25.66,25
131,Dark Shadows,WB,38,Comedy,79.727149,150
132,Dark Skies,Weinstein / Dimension,39,Horror,17.418667,3.5
133,Date Night,Fox,66,Comedy,98.71,55
134,Daybreakers,Lionsgate,67,Action,30.10,20
135,Dear John,Sony,29,Drama,80.01,25
136,Death at a Funeral,Independent,40,Comedy,42.74,21
137,Death Race,Universal,42,Action,36.32,45
138,"Definitely, Maybe",Universal,71,Comedy,32.24,7
139,Despicable Me,Universal,81,Animation,251.51,69
140,Despicable Me 2,Universal,74,Animation,368.061265,76
141,Devil,Independent,52,Horror,33.60,10
142,Diary of a Wimpy Kid,Independent,53,Comedy,64.00,15
143,Diary of a Wimpy Kid 2: Rodrick Rules,20th Century Fox,47,Comedy,52.70,21
144,Diary of a Wimpy Kid: Dog Days,Fox,51,Comedy,49.008662,22
145,Did You Hear About the Morgans? ,Sony,12,Comedy,29.58,58
146,Dinner for Schmucks,Paramount,43,Comedy,73.03,69
147,Disaster Movie,Lionsgate,2,Comedy,14.19,20
148,District 9 ,Independent,91,Action,115.60,30
149,Disturbia,Paramount,67,Thriller,80.21,15
150,Django Unchained,Wein.,88,Drama,162.805434,100
151,Dolphin Tale,Independent,84,Drama,72.29,37
152,Don Jon,Relativity,81,Romance,24.477704,6
153,Don't Be Afraid Of The Dark,Miramax Films,59,Horror,24.05,25
154,Doomsday,Relativity Media,48,Action,11.01,33
155,Doubt,Independent,78,Drama,33.45,25
156,Dr. Seuss' Horton Hears a Who!,Fox,79,Animation,154.53,85
157,Dr. Seuss' The Lorax,Uni.,54,Animation,214.0305,70
158,Drag Me to Hell ,Universal,92,Horror,42.10,30
